comment,label,language
the last part wowwwwwwwwwwwwwwwwwwwwwwww,0,0
pal pal good,0,0
nice song,0,0
02:22,0,0
2:46 cant get over this,0,0
repeat repeat endless repeatcant get over this,0,0
i hate it,0,0
bad song,0,0
really bad song,0,0
its a good song not better than breathless,0,0
anyone today sad,1,0
i m leaving this commentso that anyone gives a thums upit vl remind me to cum bak n listen this masterpieceby the way today is 26226,1,0
01:48,0,0
bhai ye kya bana dala bhi khatarnak chij h yeh,0,1
2:50 girls gibberish in the background,0,0
01-Mar,1,0
march 2026 attendance,1,0
music knows no border,0,0
1st march attendance,1,0
im obsessed with this song aww,0,0
dil ko pageya bhai,0,1
best,0,0
i could not get my love may everyone get their love aditya,0,0
todays attendance,1,0
28 february attendance,1,0
can anyone translate,0,0
28th february,1,0
5 march attandance,1,0
every time she looks at me its like she is calling me without words uski nazar aayein hayein,0,2
no match for punjabi music in this world,0,0
ajj kon kon suna raha hai,1,1
march 1 jo jo aj propose karne wala hai,1,1
nicee,0,0
who got kissan ad before,1,0
i love it,0,0
fav,0,0
very nice,0,0
mere sath yahi jo raha hai bahi usko tak raha tha main usko lekin wo dekh nahi dusri tarf dekh kar muskura rahi hai aur mai is song so sun raha hun,0,1
congrats youve a great taste in music,0,0
love u tapa yes its me my moon,0,0
my new craze zeeshan ali,0,0
29 feb attendance,1,0
beautiful song,0,0
any attempt 28 feburary 126,1,0
kitna pyar song ha yr,0,1
20-Feb,1,0
kon kon ka one sided love he bataw,1,1
one more song,0,0
who is listening 28feb,1,0
one side love,0,0
i am with you,0,0
17-Mar,1,0
akhter from jammu,0,0
28 fab 2026 morning time 841,1,0
28 attended here,1,0
kal chemistry ka paper h but uski yaad aagyi,0,1
amazing voice n lyrics,0,0
335 same hair like the bule one but,0,0
lekin m to bss gc me entry chahti huu guiltt ho rhaa yaara khudd prr bhott burii huu m,0,1
after my crush story song,0,0
masters piece,0,0
love from srilanka,0,0
1 like to save our memories,1,0
koi hindi likh kr bhejo,0,1
258 i start to miss her alot,0,1
kl mera chemistry board ka exam h aur mujhe hori bhut tension prr now im all okayyyyyy,0,2
my name is shanu,0,1
exam over,0,0
ishqa ve chadeya tu kakh da ni sanu oh love you have destroyed me entirely takkde aa jinnu oh takkda ni saanu i keep staring at the one who doesnt even glance at me phirde aa jinnu khayalan ch sambhi i roam after the one i only hold in my dreams nazra de vich vi oh rakhda nahi sanu she doesnt even keep me in her eyes ishqa ve chadeya tu kakh da ni sanu oh love you have destroyed me entirely mangde aa jinnu duawan ton jyada i beg for the one whos worth more than all my prayers manzil nahi pher othe raahvan ton jyada its not the destination its the journey that matters more raahan ch diggeyan nu chakkda ni sanu yet she doesnt even pick me up when i fall on those roads ishqa ve chadeya tu kakh da ni sanu oh love you have destroyed me entirely dil di je tenu sunava nai sunda if i try to make you listen to my heart you dont hear hauke nahi sunda tu havan nahi sunda you dont hear my sighs nor the winds that carry my cries sajjan layi kariyaan duavan nahi sunda even the prayers i make for my beloved you ignore them too te apna bana ke vi rakhda ni sanu and even after making me yours you dont keep me ishqa ve chadeya tu kakh da ni sanu oh love you have destroyed me entirely momin naa chhade tu hindu naa chhade you spare neither the muslim nor the hindu langheya eh dharmaan te jaatan ton agge this love has leapt beyond religions and castes ranjhe banaye te majnu ne thagge you turned men into ranjha and majnu then deceived them lagda tu saade vi vassda nai sanu it feels you wont ever come under our control either ishqa ve chadeya tu kakh da ni sanu oh love you have destroyed me entirely,0,2
what a voice and mv everything is just too perfectt,0,0
fire,0,0
mashallah,0,1
10 march attendance,0,1
very nice song,0,0
nice song yar,0,0
whose exam is today,0,0
kon kon insta se aaya attend here,1,2
here is the translation for those who didnt understand this ishqa ve chhadeya tu kakh da ni sanu oh love youve completely destroyed me ishqa ve chhadeya tu kakh da ni sanu oh love youve completely destroyed me takkde aa jinnu oh takkda ni sanu i keep looking at her but she doesnt even look at me takkde aa jinnu oh takkda ni sanu i keep looking at her but she doesnt even look at me phirde aa jinnu khayalan ch sambhi i keep chasing the one i only hold in my dreams phirde aa jinnu khayalan ch sambhi i keep chasing the one i only hold in my dreams nazran de vich vi oh rakhda nai sanu she doesnt even keep me in her eyes doesnt even think of me ishqa ve chhadeya tu kakh da ni sanu oh love youve completely destroyed me hunda ae sajjan jo saahan ton jyada a loyal beloved is more important than breath hunda ae sajjan jo saahan ton jyada a loyal beloved is more important than breath mangde aa jinu duawan ton jyada im begging for her worth more than all my prayers mangde aa jinu duawan ton jyada im begging for her worth more than all my life manzil nahi pher othe raahvan ton jyada its not the destination but the paths that matter more manzil nahi pher othe raahvan ton jyada its not the destination but the paths that matter more raahan ch diggeyan nu chakkda ni sanu she doesnt even pick me up when i fall on the roads ishqa ve chhadeya tu kakh da ni sanu oh love youve completely destroyed me dil di je tenu sunava nai sunda if i try to tell you whats in my heart you dont listen dil di je tenu sunava nai sunda if i try to tell you whats in my heart you dont listen hauke nahi sunda tu havaan nahi sunda you dont listen to my sighs nor to the winds that carry my pain hauke nahi sunda tu havaan nahi sunda you dont listen to my sighs nor to the winds that carry my pain sajjan layi kariyaan duavan nahi sunda even the prayers i make for my beloved you dont hear sajjan layi kariyaan duavan nahi sunda even the prayers i make for my beloved you dont hear te apna bana ke vi rakhda ni sanu and even after making me yours you dont keep me with you ishqa ve chhadeya tu kakh da ni sanu oh love youve completely destroyed me momin na chhade tu hindu na chhade you spare neither a muslim nor a hindu love affects all momin na chhade tu hindu na chhade you spare neither a muslim nor a hindu love affects all langheya eh dharmaan te jaatan ton agge this love has leapt beyond religions and castes langheya eh dharmaan te jaatan ton agge this love has leapt beyond religions and castes ranjhe banaye te majnu ne thagge you made lovers like ranjha majnu yet betrayed them ranjhe banaye te majnu ne thagge you made lovers like ranjha majnu yet betrayed them lagda tu saade vi vassda nai sanu it feels like you dont even belong to me ishqa ve chhadeya tu kakh da ni sanu oh love youve completely destroyed me ishqa ve chhadeya tu kakh da ni sanu oh love youve completely destroyed me,0,2
3 march attendance,1,0
suddenly ye song itna viral kaise hogya bhai,0,1
20 mint me board exam h it ka aur mai ye song sunn rha hu,0,1
todays attendance,0,0
song nahi hai bhai emotion hai,0,1
28 feb wale attendance laga do 138,0,1
27 february anyone,1,0
hm log 27 feburary boards me bhi sun rhe hai yahi se aayega board,1,1
diamond batch attendance,1,0
pakistan in cricket pakistan in songs,0,0
such a amazing song,0,0
obsessed with it,0,0
copyright to nhi ayega,0,1
obsessed,0,0
bhaiiiiiiiiiiiiiiii ikkk number gana jo maine kafi baar repeat pai suna hai,0,1
is this a pakistani or indian music,0,0
watch merizindagihaitu every friday saturday at 800 pm on ary digital,0,0
episode 32 q ni aya,0,1
32 please,0,0
yea kue tarakia nai ha koi is tra marta ha,0,1
hania is very cute and strong,0,0
kaamyaar ko ayra ki bhai par haat uta na nehi chahye taa ye galat hai,0,1
ye fariya ki koi kaam nehi hai kya party karke peena hai uski kaam,0,1
here for bilal and his sexy lipskisses to you bilal i love you,0,0
32:39 to 32:52,0,0
who is watch feb 2026,0,0
who is watching in march 2026,1,0
anyone ya drama kasa ha story interesting ha like kar do,1,1
so funny drama,0,0
cyber truck but his moye moye,0,2
kon kon end say first episode aya ha,1,1
ramzan ma kon kon ya drama dakh raha,1,1
kon kon dobara dekh rha hy,1,1
4128 badehi realistic car hai,0,1
allah uske roze main barkat daly jo maire comment like kare,1,1
yr ya gunda gardi q dikhate han,0,1
even i obsessed with this song toooo,0,1
love from bangladesh,0,0
i dont like hania amir she is attitude girl,0,0
she is neglected from the 1st ep,0,0
from bangladesh,0,0
first episode se hi dekh rahi thi phirse rewatch karne aa gayi,1,1
boss plz koe serial asa ho jis mei danish taimoor bhai herohon aur hania mam heroen hon,0,1
what a rubish phli or akhri episode hi dekh rhi ajeeb like end scene to dekho koi samne khara gari jala ra and everything around is normal bhai,0,2
fork in right hand as a spoon,0,0
who is watching first episode in ramzan,1,0
who watch on 23 on friday tell me fast,1,0
how many indians are here,1,0
came from tiktok edit,1,0
mardana aurat 21:37,0,1
nice drama,0,0
anyone in 23 feb,1,0
meri zindagi hai tu drama is very nice,0,0
good darma,0,0
nice episut,0,0
india se,0,0
love from bangladesh,0,0
wow,0,0
lets pull fazal bhaksh or kamya who is better character,0,0
pehlii baat ye he ke is ladki ko pata kese chala ke kamiaar ye he hnn bolo bolo,0,1
any one from nepal,1,0
agr ye sb dikhaya ja b raha club wgaira tu is ko kuch alg treeky se ly k jana chahye tha story ko ak lrki k liye nai blky allah k liye bdlta khud ko like peer e kamil,0,1
like my coment,1,0
alhumdolillah already 6 figure earner as student in remote ecommerce,0,0
insta pe reel dekhle drama dekhne aa gya,0,1
stop wasting your time watching this is bakwas drama not good for watching ramadan time they showing muslim drinking sharaab dancing and smoking and woman wearing half clorhes,0,0
who watches right now,1,0
12:28 the helper was also in tere bin drama as helper,0,0
i am from bangladesh,0,0
not only pakistan we bangladeshis also love pakistani dramas,0,0
please serialize the episodes tia,0,0
any bangladeshi watching this drama i am from bangladesh also anyone suggest me in this drama is it good i see lots of pakistani drama i dont like bilal abbas drama thats why i ask,0,0
kutte wali baseti,0,1
ramazan mubarak,0,1
reels dekhkar mazburan aana hi para,0,1
watching from england after hype and curiosity caused on social media reels about this drama,0,0
bangladesh waching drama so best drama,0,0
im here watching this drama after quarban n im literally shocked by seeing the behavior of bilal abbas,0,0
starting main he cyber truck,0,1
0:24 i like this song,0,0
gari mast use kortha hai pakistani drama mai,0,1
who is watching 19 feb 2026,1,1
this episode view is unbelievable 4 crore plus,0,0
any one in ramdan,1,0
who is here after hearing so many compliments about this drama,1,0
anyone watching this in ramadan so ramadan mubarak,1,0
anyone after ishq murshid,1,0
any bangladeshi hai idhari love this title song too much,1,2
anyone after watch sher drama,1,0
dadi ji dopta lay kar khana khya karo,0,1
yar ma to bas chak karna ayi thi ka darma kaisa hai ma to song sun kar darma dakhna ayi ho,0,1
kon kon attock city sy dykh rha h,1,1
bhai tumlog ke pass kuchh aur content nhi hai sare drama ek jaise lgte hn whi ghhisa pita,0,1
sir g ohi haun diyan jo edhar panjab te udhar panjab diya nasla nu western bnae ja reharab rakha,0,1
that is one hell of an ugly vehicle,0,0
kon kon girlfriend ke sath dekhraha hai like karo,1,1
after almost 4 month i just watching ep1,1,0
ep 31 upload please,0,0
pakistan mein ladkiya bina burkhe k aise kapde bhi pehanti hai waha club bhi hote,0,1
i m watching 16 feb,0,0
there are many fans of faisal qureshi fahad mustafa danish taimoor bilal abbas wahaj ali etc but there is no doubt that ahad raza mir has the most fan following not only in pakistan in india or other countries he is the ones who has the g0d gifter of pakistans,0,0
alto be like mujhy q jalaya ry,0,2
bilal abaas look like mohra drama sikandar,0,0
i am watching aaaa drama 1st ep views today,0,0
any one in feb,1,0
who watching today 15 february,1,0
anyone 15 february 2026 attendance lagao,1,1
india looser hai,0,1
hania amir bahut acchi lag rahi hai is gane mein,0,1
drop everything to subscribe to har pal geos youtube channel right away and hit the bell icon to join our fastest growing family,0,0
ultra legends watching in 2026 ramadan,0,0
how many people watching this drama in 2027,1,0
when waqas said the truth to meerab feeling sad for both,0,0
2026now,1,0
18:21,0,0
l m bangladesh,0,0
i absolutely hate pakistan except this serial the reason is no over intimate scenes soft silent pure gentle beautiful love kuch cheeze gadd mai sundar lagti hai,0,0
ye drama bohoot masa ka ha,0,1
how many people watching this drama in 2026 140,1,0
ultra legends watching on february 2026,1,0
2026 me dek rahu,1,1
i am student,0,0
i am watching feb 2026,1,0
i am watching this drama in 2026,1,0
how many audience are there,1,0
who skip haya and maryam seen,1,0
how many students are there,1,0
koi na koi zaror hota hai jisko skip karna zarori ho jata hai main haya ko skip kar deta o,0,1
3006 cutia banaya tumko,0,1
yaar koi reply bhi de diya karo,1,1
kaunkaun 14th ki age mein dekh raha hai,1,1
i am watching 30126,1,0
zinda ho,0,1
who is watching again and again,1,0
who is watching again,1,0
khub sundar,0,1
10:28 meem se mohabbat sir talha ka office,0,1
06:11,0,0
i am watching this drama in2026,1,0
orhan is best,0,0
osman is best,0,0
please l request to season 2,0,0
gather here if youre watching 2026,1,0
ma bangladesh se dekrahaha,1,1
jb btana hi tha to kyun dia tha waqas ko,0,1
437 the way murtasim cared when meerab had pain in her hand he already has feelings for herr,0,0
106 the way he ran for her ahaaaaa,0,0
kis kis ko meri tarah video ky sath sath comment prny ki bimari hai,1,1
how many people watching this drama in 2026,1,0
i hate haye,0,0
kaunkaun 2026 mein dekh raha hai,1,1
murtasim khan o god seck very nice,0,1
tere bin ka season 2 live,0,1
whos watching in 2026,1,0
so sad,0,0
haya maa bagum k kon h,0,1
the king of industry danish taimoor,0,0
who wattched 2026,1,0
rewatch,1,0
im watching this january 2026,1,0
who are here second time january 2026,1,0
very nice and very beautiful,0,0
kon kon drama ko dosri bar dekh raha ha,1,1
i feel this pain,1,1
im a future watching january 2026 and 2027,1,0
am i the only one who is watching in january 2k26,1,0
murtasims one liners are such a mood fr,0,0
100 replies,1,0
me just started,1,0
january 8 watching attendees,1,0
some time i am crying after watch emotional scene,1,0
first time in 2024 second time 2025 now third time in 2026,1,0
21:28,0,0
who watching 2026,1,0
kon 2026 ma 2time dekhe raha ha,1,1
i have never watched a serial in my life i watched fast time for maria,0,0
why did the airbag not open,0,0
im watching episode 4 in 5012026 at 658 pm,1,0
kon kon ye drama ar ye episode aj yeni 5 january 2026 ko dekh rha,0,1
kon kon russian se dekh raha ha,1,1
i am new here,0,0
so cute love story mirab and mortasim,0,0
kaise kaise video dala karte the triggu bhai,0,1
100 likes 166k likes,1,0
legends are watching in 2026,1,0
hii my love,0,0
kon kon 2026,1,1
kela best,0,2
no kela no legend only nischay bhai,0,0
legends are watching after 7 years,1,0
no kids are watching in 2024,1,0
triggered insan,0,0
nischay malhan his real name,0,0
0:21 only nischay bhaiya,0,0
i am from 2025,1,0
ulta pro max viewer watching in 2025,1,0
ultra legend pro max watching in 2025,1,0
koi bhi nahin,0,1
legend is better than kela kuki vo ladki ki best acting karta hai,0,2
wow kya acting hai,0,1
kela,0,1
tigar bahe ki sadihogae,0,1
2024 bhaiii still here,1,1
real legend watching this video after 7 years,1,0
ooohh bhai muzhe to legend ko vote karuga,0,1
me toh 2024 me dekh raha hu,1,1
after 6years watching,1,0
me watching this legend video after 6 years,1,0
who is here in 2024 raise your hand if you are in 2024,1,0
2024 mein dekh ne wale chalo attendance lagao,1,1
2024 par kon dekh raha hai,1,1
kon kon 2024 ma is ko dhek raha ha,1,1
ultra pro gigachad people are watching after 6 years,1,0
you are cute,0,0
hey trigu bhai,0,0
deepak kalal is best because he is still making cringe,0,0
maine noman khan ko 1st time dekha hy abhi,0,1
3:39 triggered insaan ne gaali di this was unexpected,0,2
awaz alag lag rhii aaj triggu ki,0,1
fantastic,0,0
only legends can watch him after 6 yrs,0,0
lazmi nahi emraan haasmi hai,0,1
e sab dekh kar mere aankhon se khun nikal gayi hain,0,1
3:42 he always says that he dont abuse,0,0
5 saal baad bi firse dekh rahi hu but fir bhi johut maja aaya hai,0,1
who is here after 202 million,0,0
maa kasam jisne like nahi kiya exam me fail hoga,1,1
exam me fail hoga maa kasam jisne like nahi kiya,1,1
the random person who like my comment I wish your parents live more than 100 years,1,0
jisne bhi comment like kiya uske maa baap ki umar 100 saal ho,1,1
the random person who like my comment I truly wish your parents live more than 100 years,1,0
5 minute wali gang?,1,1
pehle 5 minute wali gang?,1,1
aaj mera birthday hai par 0 like,1,1
kon kon stream ke baad aya,1,1
aaj mera birthday hai phir bhi 0 likes,1,1
kis kis ko meri tarah ispe gussa aa raha hai,1,1
stream ke baad kon kon aaya hai,1,1
meri tarah kis kis ko iske bhai pe gussa aa raha hai,1,1
carryminati respect button,1,0
main to 2024 me dekh rha hu,1,1
2024 me dekh raha hu main toh,1,1
me to 2024 dekh raha hu,1,1
kis kis ko video dekhte time comments padhne ki bimari hai like,1,1
kis kis ko comments padhne ki bimari hai like,1,1
jo video dekhte time comments padhta hai like karo,1,1
video dekhte time kis kis ko comments padhne ki bimari hai like,1,1
aaj pata chala comment pe triple tap se reply hota hai,1,1
mujhe to aaj pata chala comment pe triple tap ka reply hota hai,1,1
techno bhai ki series shuru se dekhne wale vote karo,1,1
vote karo Techno bhai ki series shuru se dekhne wale,1,1
techno bhai ki series dekhne wale vote karo,1,1
techno bhai ki series beginning se dekhne wale vote do,1,1
aj pata chala k comment par triple click karne se replay hota hai,1,1
aj saturday hai sani dev Ki kasm like Karo ,1,1
hanuman ji ke liy to like bnta he aaj dekhte kitni like aati he jay shiree ram,1,1
aap sab log bahut acche ho puri family puri family badi pyari Hai,0,1
kundli to bahut jyada happy ho gaya pura water park aapane book kar liya pura water park book kar diya I am your big big fan I love you all vlogs,0,1
piyush jab chota thaa kitna masti karata tha aabb bhot silent hogaya hai vlog mein maja nahi araaa,0,1
aap ki video ka hi intezar tha sourabh bhai,0,1
1 din me 50 time dekh raha hu,1,1
kon kon student hai bhai,1,1
1 din me 50 time dekha,1,1
1 din me 50 baar dekh liya,1,1
bhai 1 din me 30 time dekha,1,1
kon kon student hai bhai log,1,1
kaun kaun student hai,1,1
student log kon kon hai,1,1
kon kon student hain bhai,1,1
student hai kon kon,1,1
kaun student hai idhar,1,1
march 1 jo jo aj propose karne wala hai,1,1
march 1 jo jo aaj propose karega like karo,1,1
jo jo march 1 propose karne wala hai,1,1
comment par triple click karne se reply hota hai aaj pata chala,1,1
pata chala aaj comment par triple click se reply hota hai,1,1
saturday hai shani dev ki kasam like karo,1,1
shani dev ki kasam aaj saturday hai like karo,1,1
aj saturday hai like karo shani dev ki kasam,1,1
aaj saturday hai shani dev ki kasam please like karo,1,1
hanuman ji ke liye to like banta hai aaj dekhte kitni like aati hai jai shree ram,1,1
aaj dekhte kitni like aati hai hanuman ji ke liye to like banta hai,1,1
jai shree ram hanuman ji ke liye to like banta hai,1,1
hanuman ji ke liye to like karo aaj dekhte kitni like aati hai,1,1
hanuman bhagwan ke liye like kardo,1,1
kon kon stream ke baad aaya hai,1,1
kon kon live stream ke baad aya,1,1
stream ke baad aane wale kon kon,1,1
kon kon stream dekhne ke baad aya,1,1
5 minute wali gang ,1,1
30 minute gang kaha hai,1,1
2 minute mein dekhne wali gang,1,1
5 minute wali gang bolo,1,1
10 minute wali gang where you at,1,2
jisne like kiya uske maa baap 100 saal jiyen,1,1
jisne comment like kiya uske parents ki umar 100 saal,1,1
like karne wale ke maa baap ko 100 saal,1,1
russian se dekhne wale kon kon,1,1
russia se dekhne wale kon kon,1,1
pakistan se dekhne wale kon kon,1,1
bangladesh se dekhne wale kon kon,1,1
sri lanka se dekhne wale kon kon,1,1
kon kon russia se dekh raha hai like karo,1,1
jo bhi russia se dekh raha hai like kardo ,1,1
jo bhi russia se dekh raha hai like kardo ,1,1
jo bhi pakistan se dekh raha hai like kardo ,1,1
jo bhi bangladesh se dekh raha hai like kardo ,1,1
jo bhi sri lanka se dekh raha hai like kardo ,1,1
kon kon drama ko dosri bar dekh raha ha,1,1
kon kon drama ko doosri baar dekh raha hai,1,1
kon kon drama second time dekh raha hai,1,1
drama ko doosri baar kaun kaun dekh raha hai,1,1
kon kon drama dubara dekh raha hai,1,1
doosri baar dekhne wale kon kon,1,1
ma bangladesh se dekrahaha,1,1
ma bangladesh se dekh rahi hu,1,1
mai bangladesh se hu,1,1
yaar koi reply bhi de diya karo,1,1
yaar koi reply to de do,1,1
koi reply de do yaar,1,1
reply de do yaar koi,1,1
yaar koi comment bhi kar do,1,1
yaar reply bhi de diya karo,1,1
reply de diya karo yaar koi,1,1
ramzan ma kon kon drama dekh raha hai yaar,1,1
kon kon ramzan me drama dekh raha hai ,1,1
ramzan mein ye drama kaun dekh raha hai,1,1
ramzan mein kon kon ye show dekh raha hai,1,1
ramzan mein drama dekhne wale ,1,1
jisne like nahi kiya maa kasam exam me fail hoga,1,1
like nahi kiya toh exam me fail pakka,1,1
like karo meri duaa qubool ho jayegi,1,1
like karne se meri duaa qubool,1,1
meri dua qubool ho jayegi like dedo,1,1
like karo bhai meri duaa qubool ho,1,1
like karo meri dua qubool ho jayegi bhai,1,1
maa ki lambi aayu ke ek liye like karo,1,1
like kar do meri maa ki lambi umar ke liye,1,1
mai exam ke 2 ghante pehle dekh rhi,1,1
mai exam ke 2 ghante pehle dekh rha hu,1,1
mai exam ke 20 min pehle dekh rhi,1,1
exam ke 1 ghante pehle dekh rhi,1,1
exam ke 2 ghante pehle dekh rha,1,1
exam ke 40 minute pehle dekh rhi hu,1,1
exam ke 40 minute pehle dekh rha hu,1,1
3 ghante pehle dekh rhi exam ke ,1,1
alag hi vibe hai imran hashmi ke song ka,0,1
akka bollywood ek taraf imram hashmi ek taraf great actor,0,1
poora song imran hashmi ki wajah se dekha h,0,1
"saalo tk bhi ye gana aise hi suna jata rahega

",0,1
"kaash yeh gaana ab aaya hota ye arijit, tony, jubin ke fans kya jaane yeh vibe ko apna bekhayali aur filhaal karte ho",0,1
shilpa rao ki awaaz hayee,0,1
kya din the wo bhi,0,1
8:09 wo scooter hi khas bachho ke liye banayi hai,0,1
fire extinguisher vale vlog ki yaad aa gayi,0,1
bhai apko kya pata hamare Punjab mein to 13 saal ke pass bhi bike hoti hai,0,1
ghar walon ne gareebi dekhi hai beta,0,1
bhaiya tum sab colour challenge karo sab alag alag colour ka 24 hours plzzz reply,0,1
ye kitni bhi moti ho jaaye doesn't matter hamesha sunder lagti he,0,1
shreyaa pasand hai,0,1
kya fayda movie banana ka shradha ke saamne paad diya,0,1
uske movie se zyada toh us uske paad ne tiger ko zyada famous kar diya,0,1
wo kisi toy ya bhompu ki awaz thi jab wo baitha toh,0,1
acha hua bhai nahi kari tune andhadhun,0,1
sir voh height kam reh gayi,0,1
are kuch hindi me bhi bol do anpad ko bhi samja aajay,0,1
mai jisne ye meme ki vajah se hi movie nahi dekhi,0,1
saari khushiyo par casually paani ferta hua hamara varun Dhawan,0,1
oye hoye kya seen he,0,1
varun dhawan ke liye pyaar badh gaya iss episode se,0,1
sasta shanefan,0,1
salman jitna hi hai ye bhi salman bs budha ho gya hai isliye chota lagta hai,0,1
papaji ko restart karohang hogye hai lol,0,1
uncle otp dalne ke baad hasenge,0,1
sameer bahar aa gaya haha,0,1
sameer bhai ka pagal pan nahi hai ye to tharak hai,0,1
bhai ne bola karne ka to karne ka,0,1
kuch zyada hi sach bol diya bhai ne,0,1
aap sabse best youtuber ho aap toh youtube ke king ho,0,1
mard hamesha apni pasandida orat se roast ho jata hai,0,1
pyar ke fangeet mei Mohini furagini,0,1
bb bhai ispe separate video chahiya,0,1
kiu mai dhool hoon,0,1
bhaiya ji fhas gye baman ki ldki k chkr me,0,1
titu mama ko dekh ke tou sach me koi nahi bol sakta ye bhuvan hai. just too good bb bhai,0,1
bada asaan haiii,0,1
ashish bhai ki fillding set ho gayi,0,1
ladki mili obhi jindha mili oyee,0,1
bhai behen ka pyaar khatam hi nahi horaha,0,1
matlab shaadi ke is topic se ashish bhai bhi bacche nahin ho,0,1
ashish bhai alag hi level ka banda hai,0,1
4 years ke baad hasi aayi bro ki video dekhkar,0,1
ashish bhai ne kaafi paisa lagaya ha,0,1
prerna did abhishek bhaiya ki shaadi hone wali hai kyaa,0,1
hyeee dono kitne pyari lag rhe hai,0,1
main von student hun jise karna to bahut kuchh hai lekin din bhar scroll karungi biggest fan love from pakistan,0,1
under 1 minute I am big fan my name is hoorain love you guys from pakistan,1,0
under 1 minute gang,1,0
didi aap map me pin karo jha ghum kar aye ho aur acha lagega pin se map banao,0,1
6:04 ary ap py hairstyles koi sa bhi accha lagta hai,0,1
abb pata chala aam insaan ki problems rain me prerna madam,0,1
mid partition jyada pretty lagta hai aap pr,0,1
harsh bhaiya kabhi video nahi bnate bss apko compliment krte hai,0,1
aapko apni family aur nischay bhaiya ki family ke saath hidency khelni chahie,0,1
hello sir mai apse 3-4 saal pehle mila tha mall mei aur apke sath photo bhi kichwaya tha aur 1 month pahele aap mujhe phir se dikhe the mall mei par nervousness ki wajah se mil nahi paya. Aur abhi aisa lagta hai mil lena cahiye tha,0,1
kitna over bacha hai ,0,1
bhai dusra 1 cr tak gaya tha aur yo theek respectful tha,0,1
dusra battameez nhi tha,0,1
school ka naam kharab kar diya,0,1
padhai ke sath tameez bhi sikhana padta hai,0,1
pehle ee bata tu kyo 1.5 lakh leke e20 promotion kyu ki,0,1
ye sab chhod ke wo penguin ban jao sab,0,1
15:13 ye accha tha guru,0,1
shadi ka invitation nahi aaya isliye ye video bana dalaa lol,0,1
bhai ye konse reelbaaz editor ko rkha hai,0,1
10:55 kuch to khaaye admi,0,1
